Organ_Name,Num_of_triangles
Allen_amygdalohippocampal_area_L,30
Allen_bed_nucleus_of_stria_terminalis_L,156
Allen_thalamus_L,1710
Allen_anterior_nuclear_complex_of_thalamus_L,72
Allen_lateral_dorsal_nucleus_of_thalamus_L,66
Allen_mediodorsal_nucleus_of_thalamus_L,222
Allen_reuniens_nucleus_medioventral_nucleus_of_thalamus_L,42
Allen_lateral_posterior_nucleus_of_thalamus_L,108
Allen_pulvinar_of_thalamus_L,264
Allen_ventral_anterior_nucleus_of_thalamus_L,237
Allen_ventral_lateral_nucleus_of_thalamus_L,258
Allen_ventral_posterior_lateral_nucleus_L,132
Allen_ventral_posterior_medial_nucleus_L,54
Allen_dorsal_lateral_geniculate_nucleus_L,48
Allen_medial_geniculate_nuclei_L,30
Allen_centromedian_nucleus_of_thalamus_L,72
Allen_parafascicular_nucleus_of_thalamus_L,30
Allen_habenular_nuclei_L,30
Allen_pineal_body_L,24
Allen_zona_incerta_L,90
Allen_supraoptic_region_of_HTH_L,84
Allen_preoptic_region_of_HTH_L,66
Allen_tuberal_region_of_HTH_L,192
Allen_white_matter_of_forebrain_L,13989
Allen_anterior_commissure_L,78
Allen_corpus_callosum_L,1806
Allen_fornix_L,192
Allen_mammillothalamic_tract_L,36
Allen_optic_tract_L,78
Allen_anterior_horn_of_lateral_ventricle_L,810
Allen_body_of_lateral_ventricle_L,462
Allen_posterior_horn_of_lateral_ventricle_L,120
Allen_inferior_horn_of_lateral_ventricle_L,396
Allen_third_ventricle_L,348
Allen_cerebellar_vermis_L,1395
Allen_cerebellar_deep_nuclei_L,192
Allen_white_matter_of_hindbrain_L,3768
Allen_olfactory_tract_L,42
Allen_precentral_gyrus_L,3324
Allen_superior_frontal_gyrus_L,6072
Allen_middle_frontal_gyrus_L,4038
Allen_inferior_frontal_gyrus_triangular_part_L,1524
Allen_inferior_frontal_gyrus_opercular_part_L,888
Allen_gyrus_rectus_straight_gyrus_L,558
Allen_medial_orbital_gyrus_L,720
Allen_anterior_intermediate_orbital_gyrus_L,348
Allen_posterior_intermediate_orbital_gyrus_L,576
Allen_lateral_orbital_gyrus_L,894
Allen_paracentral_lobule_rostral_part_L,924
Allen_frontal_operculum_L,396
Allen_postcentral_gyrus_L,2724
Allen_supraparietal_lobule_L,2772
Allen_supramarginal_gyrus_L,1416
Allen_angular_gyrus_L,1872
Allen_precuneus_L,2802
Allen_paracentral_lobule_caudal_part_L,600
Allen_superior_temporal_gyrus_L,1245
Allen_middle_temporal_gyrus_L,3075
Allen_inferior_temporal_gyrus_L,2112
Allen_occipitotemporal_fusiform_gyrus_temporal_part_L,1374
Allen_transverse_temporal_gyrus_Heschls_gyrus_L,426
Allen_planum_temporale_L,492
Allen_temporal_pole_L,768
Allen_planum_polare_L,696
Allen_occipital_pole_L,444
Allen_cuneus_L,1800
Allen_lingual_gyrus_medial_occipitotemporal_gyrus_L,2220
Allen_lateral_occipitotemporal_fusiform_gyrus_occipital_part_L,570
Allen_inferior_occipital_gyrus_L,1386
Allen_superior_occipital_gyrus_L,1773
Allen_cingulate_gyrus_rostral_anterior_part_L,1050
Allen_cingulate_gyrus_caudal_posterior_part_L,1227
Allen_ingulo_parahippocampal_isthmus_L,72
Allen_subcallosal_gyrus_parolfactory_gyrus_L,120
Allen_anterior_parahippocampal_gyrus_L,402
Allen_posterior_parahippocampal_gyrus_L,330
Allen_gyrus_ambiens_L,48
Allen_head_of_hippocampus_L,150
Allen_body_of_hippocampus_L,126
Allen_tail_of_hippocampus_L,156
Allen_long_insular_gyri_L,360
Allen_short_insular_gyri_L,438
Allen_limen_insula_L,18
Allen_pretectal_region_L,12
Allen_substantia_nigra_L,30
Allen_superior_colliculus_L,18
Allen_cerebral_peduncle_crus_cerebri_L,138
Allen_superior_cerebellar_peduncle_brachium_conjunctivum_L,72
Allen_cerebral_aqueduct_L,18
Allen_paravermis_of_cerebellum_L,990
Allen_lateral_hemisphere_of_cerebellum_L,3558
Allen_basilar_part_of_pons_L,276
Allen_pontine_tegmentum_L,156
Allen_pyramidal_part_of_medulla_oblongata_L,30
Allen_tegmentum_of_medulla_oblongata_L,186
Allen_inferior_olive_L,36
Allen_middle_cerebellar_peduncle_L,96
Allen_fourth_ventricle_L,126
Allen_central_canal_of_medulla_oblongata_L,12
Allen_midline_nuclear_complex_L,72
Allen_lateral_olfactory_gyrus_L,36
Allen_parietal_operculum_L,366
Allen_optic_radiation_L,24
Allen_posteroventral_putamen_L,624
Allen_atrium_of_lateral_ventricle_L,186
Allen_paracingulate_gyrus_L,246
Allen_rostral_gyrus_L,342
Allen_frontomarginal_gyrus_L,324
Allen_frontal_pole_L,630
Allen_inferior_cerebellar_peduncle_L,30
Allen_perirhinal_gyrus_rostral_part_of_FuGt_L,24
Allen_olfactory_bulb_R,12
Allen_anterior_olfactory_nucleus_R,12
Allen_piriform_region_R,375
Allen_frontal_agranular_insular_cortex_area_Fl_R,24
Allen_temporal_agranular_insular_cortex_area_Tl_R,138
Allen_head_of_caudate_R,738
Allen_body_of_caudate_R,510
Allen_tail_of_caudate_R,180
Allen_putamen_R,624
Allen_nucleus_accumbens_R,138
Allen_external_segment_of_globus_pallidus_R,186
Allen_internal_segment_of_globus_pallidus_R,132
Allen_claustrum_R,849
Allen_basal_forebrain_R,258
Allen_septal_nuclei_R,255
Allen_amygdaloid_complex_R,309
Allen_anterior_amygdaloid_area_R,48
Allen_central_nuclear_group_R,24
Allen_lateral_nucleus_R,144
Allen_basolateral_nucleus_basal_nucleus_R,126
Allen_basomedial_nucleus_accessory_basal_nucleus_R,42
Allen_anterior_cortical_nucleus_R,48
Allen_posterior_cortical_nucleus_R,30
Allen_medial_nucleus_R,24
Allen_amygdalohippocampal_area_R,30
Allen_bed_nucleus_of_stria_terminalis_R,156
Allen_thalamus_R,1737
Allen_anterior_nuclear_complex_of_thalamus_R,72
Allen_lateral_dorsal_nucleus_of_thalamus_R,66
Allen_mediodorsal_nucleus_of_thalamus_R,222
Allen_reuniens_nucleus_medioventral_nucleus_of_thalamus_R,42
Allen_lateral_posterior_nucleus_of_thalamus_R,108
Allen_pulvinar_of_thalamus_R,264
Allen_ventral_anterior_nucleus_of_thalamus_R,237
Allen_ventral_lateral_nucleus_of_thalamus_R,258
Allen_ventral_posterior_lateral_nucleus_R,132
Allen_ventral_posterior_medial_nucleus_R,54
Allen_dorsal_lateral_geniculate_nucleus_R,48
Allen_medial_geniculate_nuclei_R,30
Allen_centromedian_nucleus_of_thalamus_R,72
Allen_parafascicular_nucleus_of_thalamus_R,30
Allen_habenular_nuclei_R,30
Allen_pineal_body_R,24
Allen_zona_incerta_R,90
Allen_supraoptic_region_of_HTH_R,84
Allen_white_matter_of_forebrain_R,14019
Allen_anterior_commissure_R,78
