Organ_Name,Num_of_triangles
VH_F_retina_L,16176
VH_F_fovea_L,384
VH_F_macula_lutea_L,3561
VH_F_optic_disc_L,18618
VH_F_palpebral_conjunctiva_of_left_upper_eyelid,13476
VH_F_palpebral_conjunctiva_of_left_lower_eyelid,13041
VH_F_vitreous_humor_L,56196
VH_F_cornea_L,14682
VH_F_bulbar_conjunctiva_L,24093
VH_F_iris_L,49299
VH_F_trabecular_meshwork_L,36828
VH_F_ciliary_body_L,23829
VH_F_ciliary_muscle_L,87315
VH_F_aqueous_humor_L,8550
VH_F_schlemms_canal_L,37848
VH_F_lens_L,2526
VH_F_corneo_scleral_junction_L,7392
VH_F_ora_serrata_of_retina_L,25425
VH_F_suspensory_ligament_of_lens_L,31365
VH_F_ciliary_processes_L,76608
VH_F_pupil_L,1536
VH_F_optic_choroid_L,19152
VH_F_sclera_L,18288
VH_F_retina_R,16176
VH_F_fovea_R,384
VH_F_macula_lutea_R,3561
VH_F_optic_disc_R,18621
VH_F_palpebral_conjunctiva_of_right_upper_eyelid,13476
VH_F_palpebral_conjunctiva_of_right_lower_eyelid,13041
VH_F_sclera_R,18288
VH_F_optic_choroid_R,19152
VH_F_pupil_R,1512
VH_F_ciliary_processes_R,76608
VH_F_suspensory_ligament_of_lens_R,31365
VH_F_ora_serrata_of_retina_R,25419
VH_F_corneo_scleral_junction_R,7392
VH_F_lens_R,2526
VH_F_schlemms_canal_R,37848
VH_F_aqueous_humor_R,8550
VH_F_ciliary_body_R,23829
VH_F_ciliary_muscle_R,87315
VH_F_trabecular_meshwork_R,36828
VH_F_iris_R,49299
VH_F_bulbar_conjunctiva_R,24093
VH_F_cornea_R,14682
VH_F_vitreous_humor_R,56196
VH_F_arytenoid_cartilage_R,1428
VH_F_arytenoid_cartilage_L,1434
VH_F_epiglotic_cartilage,2034
VH_F_cricoid_cartilage,2034
VH_F_thyroid_cartilage,2730
VH_F_corniculate_cartilage_L,342
VH_F_corniculate_cartilage_R,462
VH_F_hilum_L,828
VH_F_hilum_upper_L,465
VH_F_lingula_superior_bronchopulmonary_segment,741
VH_F_left_anterior_bronchopulmonary_segment,579
VH_F_left_apical_bronchopulmonary_segment,258
VH_F_left_posterior_bronchopulmonary_segment,588
VH_F_lingula_inferior_bronchopulmonary_segment,654
VH_F_left_superior_bronchopulmonary_segment,789
VH_F_left_posterior_basal_bronchopulmonary_segment,978
VH_F_left_anterior_basal_bronchopulmonary_segment,339
VH_F_left_lateral_basal_bronchopulmonary_segment,348
VH_F_left_medial_basal_bronchopulmonary_segment,996
VH_F_hilum_lower_L,360
VH_F_hilum_R,2202
VH_F_right_medial_basal_bronchopulmonary_segment,243
VH_F_right_posterior_basal_bronchopulmonary_segment,930
VH_F_right_anterior_basal_bronchopulmonary_segment,1287
VH_F_right_lateral_basal_bronchopulmonary_segment,444
VH_F_right_superior_bronchopulmonary_segment,1260
VH_F_hilum_lower_R,1332
VH_F_right_medial_bronchopulmonary_segment,1140
VH_F_right_lateral_bronchopulmonary_segmennt,657
VH_F_hilum_middle_R,270
VH_F_right_anterior_bronchopulmonary_segm,1614
VH_F_right_apical_bronchopulmonary_segment,675
VH_F_right_posterior_bronchopulmonary_segment,699
VH_F_hilum_upper_R,591
VH_F_cartilage_of_lobar_bronchus_L,32037
VH_F_cartilage_of_tertiary_bronchus_L,132528
VH_F_left_superior_lobar_bronchus,207
VH_F_left_inferior_lobar_bronchus,309
VH_F_left_anterior_basal_bronchus,219
VH_F_left_lingula_superior_bronchus,606
VH_F_left_apical_bronchus,150
VH_F_left_posterior_basal_bronchus,426
VH_F_left_medial_basal_bronchus,210
VH_F_left_superior_bronchus,342
VH_F_left_anterior_bronchus,297
VH_F_left_posterior_bronchus,378
VH_F_left_lateral_basal_bronchus,288
VH_F_left_lingula_inferior_bronchi,600
VH_F_cartilage_of_lobar_bronchus_R,43827
VH_F_cartilage_of_tertiary_bronchus_R,158679
VH_F_right_middle_lobar_bronchus,141
VH_F_right_superior_lobar_bronchus,114
VH_F_right_inferior_lobar_bronchus,384
VH_F_right_anterior_bronchus,696
VH_F_right_lateral_basal_bronchus,213
VH_F_right_lateral_bronchus,255
VH_F_right_medial_bronchus,351
VH_F_right_medial_basal_bronchus,261
VH_F_right_posterior_basal_bronchus,297
VH_F_right_posterior_bronchus,474
VH_F_right_superior_bronchus,396
VH_F_right_apical_bronchus,720
VH_F_right_anterior_basal_bronchus,474
VH_F_right_main_bronchus,204
VH_F_cartilage_of_main_bronchus_R,26781
VH_F_left_main_bronchus,276
VH_F_cartilage_of_main_bronchus_L,22731
VH_F_fat_L,39765
VH_F_areolar_tubercles_L,7674
VH_F_nipple_L,14712
VH_F_areola_L,36564
VH_F_mammary_lobes_L,113697
VH_F_main_lactiferous_ducts_L,52143
VH_F_main_lactiferous_sinuses_L,17199
VH_F_suspensory_ligaments_L,66417
VH_F_fat_R,224157
VH_F_areolar_tubercles_R,7674
VH_F_nipple_R,14712
VH_F_areola_R,36564
VH_F_main_lactiferous_sinuses_R,17187
VH_F_main_lactiferous_ducts_R,51999
VH_F_mammary_lobes_R,113697
VH_F_suspensory_ligaments_R,77523
3d-vh-f-palatine-tonsil-l_0.2,25803
3d-vh-f-palatine-tonsil-r_0.2,18384
3d-vh-f-skin_0.2,229578
VH_F_trachea,1326
VH_F_tracheal_cartilage,12645
VH_F_carina,2562
VH_F_optic_chiasm,2220
Allen_olfactory_bulb_L,12
Allen_anterior_olfactory_nucleus_L,12
Allen_piriform_region_L,381
Allen_frontal_agranular_insular_cortex_area_Fl_L,48
Allen_temporal_agranular_insular_cortex_area_Tl_L,282
Allen_head_of_caudate_L,1476
Allen_body_of_caudate_L,1020
Allen_tail_of_caudate_L,360
Allen_putamen_L,1254
Allen_nucleus_accumbens_L,282
Allen_external_segment_of_globus_pallidus_L,378
Allen_internal_segment_of_globus_pallidus_L,270
Allen_claustrum_L,1851
Allen_basal_forebrain_L,516
Allen_septal_nuclei_L,525
Allen_amygdaloid_complex_L,336
Allen_anterior_amygdaloid_area_L,96
Allen_central_nuclear_group_L,54
Allen_lateral_nucleus_L,294
