,Filename,Polycount,Non-Manifold Parts,Self Intersecting Parts
238,vh_m_spinal_cord-40.fbx,6505,"['VH_M_C1_segment_of_cervical_spinal_cord', 'VH_M_C2_segment_of_cervical_spinal_cord', 'VH_M_C3_segment_of_cervical_spinal_cord', 'VH_M_C4_segment_of_cervical_spinal_cord', 'VH_M_C5_segment_of_cervical_spinal_cord', 'VH_M_C6_segment_of_cervical_spinal_cord', 'VH_M_C7_segment_of_cervical_spinal_cord', 'VH_M_C8_segment_of_cervical_spinal_cord', 'VH_M_first_thoracic_spinal_cord_segment', 'VH_M_second_thoracic_spinal_cord_segment', 'VH_M_third_thoracic_spinal_cord_segment', 'VH_M_fourth_thoracic_spinal_cord_segment', 'VH_M_fifth_thoracic_spinal_cord_segment', 'VH_M_sixth_thoracic_spinal_cord_segment', 'VH_M_seventh_thoracic_spinal_cord_segment', 'VH_M_eighth_thoracic_spinal_cord_segment', 'VH_M_ninth_thoracic_spinal_cord_segment', 'VH_M_tenth_thoracic_spinal_cord_segment', 'VH_M_eleventh_thoracic_spinal_cord_segment', 'VH_M_twelfth_thoracic_spinal_cord_segment', 'VH_M_first_lumbar_spinal_cord_segment', 'VH_M_second_lumbar_spinal_cord_segment', 'VH_M_third_lumbar_spinal_cord_segment', 'VH_M_fourth_lumbar_spinal_cord_segment', 'VH_M_fifth_lumbar_spinal_cord_segment', 'VH_M_first_sacral_spinal_cord_segment', 'VH_M_second_sacral_spinal_cord_segment', 'VH_M_third_sacral_spinal_cord_segment', 'VH_M_fourth_sacral_spinal_cord_segment', 'VH_M_fifth_sacral_spinal_cord_segment']",[]
239,vh_m_spinal_cord-80.fbx,13044,"['VH_M_C1_segment_of_cervical_spinal_cord', 'VH_M_C2_segment_of_cervical_spinal_cord', 'VH_M_C3_segment_of_cervical_spinal_cord', 'VH_M_C4_segment_of_cervical_spinal_cord', 'VH_M_C5_segment_of_cervical_spinal_cord', 'VH_M_C6_segment_of_cervical_spinal_cord', 'VH_M_C7_segment_of_cervical_spinal_cord', 'VH_M_C8_segment_of_cervical_spinal_cord', 'VH_M_first_thoracic_spinal_cord_segment', 'VH_M_second_thoracic_spinal_cord_segment', 'VH_M_third_thoracic_spinal_cord_segment', 'VH_M_fourth_thoracic_spinal_cord_segment', 'VH_M_fifth_thoracic_spinal_cord_segment', 'VH_M_sixth_thoracic_spinal_cord_segment', 'VH_M_seventh_thoracic_spinal_cord_segment', 'VH_M_eighth_thoracic_spinal_cord_segment', 'VH_M_ninth_thoracic_spinal_cord_segment', 'VH_M_tenth_thoracic_spinal_cord_segment', 'VH_M_eleventh_thoracic_spinal_cord_segment', 'VH_M_twelfth_thoracic_spinal_cord_segment', 'VH_M_first_lumbar_spinal_cord_segment', 'VH_M_second_lumbar_spinal_cord_segment', 'VH_M_third_lumbar_spinal_cord_segment', 'VH_M_fourth_lumbar_spinal_cord_segment', 'VH_M_fifth_lumbar_spinal_cord_segment', 'VH_M_first_sacral_spinal_cord_segment', 'VH_M_second_sacral_spinal_cord_segment', 'VH_M_third_sacral_spinal_cord_segment', 'VH_M_fourth_sacral_spinal_cord_segment', 'VH_M_fifth_sacral_spinal_cord_segment']",[]
240,vh_m_spleen-100.fbx,16870,"['VH_M_colic_surface_of_spleen', 'VH_M_diaphragmatic_surface_of_spleen', 'VH_M_gastric_surface_of_spleen', 'VH_M_hilum_of_spleen', 'VH_M_renal_surface_of_spleen']",[]
241,vh_m_spleen-20.fbx,3369,"['VH_M_colic_surface_of_spleen', 'VH_M_diaphragmatic_surface_of_spleen', 'VH_M_gastric_surface_of_spleen', 'VH_M_hilum_of_spleen', 'VH_M_renal_surface_of_spleen']",[]
242,vh_m_spleen-40.fbx,6742,"['VH_M_colic_surface_of_spleen', 'VH_M_diaphragmatic_surface_of_spleen', 'VH_M_gastric_surface_of_spleen', 'VH_M_hilum_of_spleen', 'VH_M_renal_surface_of_spleen']",[]
243,vh_m_spleen-80.fbx,13494,"['VH_M_colic_surface_of_spleen', 'VH_M_diaphragmatic_surface_of_spleen', 'VH_M_gastric_surface_of_spleen', 'VH_M_hilum_of_spleen', 'VH_M_renal_surface_of_spleen']",[]
244,vh_m_thymus-100.fbx,2730,['VH_M_thymus_lobe_R'],[]
245,vh_m_thymus-20.fbx,544,['VH_M_thymus_lobe_R'],[]
246,vh_m_thymus-40.fbx,1089,['VH_M_thymus_lobe_R'],[]
247,vh_m_thymus-80.fbx,2182,['VH_M_thymus_lobe_R'],[]
