,Filename,Start Polys,Polys 80%,Polys 40%,Polys 20%,Elapsed Time,Non-Manifold Parts,Self Intersections?
0,3d-vh-f-eye-l.glb,184187,184187,147326,76575,00:03:44,"['VH_F_retina_L', 'VH_F_fovea_L', 'VH_F_macula_lutea_L', 'VH_F_optic_disc_L', 'VH_F_palpebral_conjunctiva_of_left_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_left_lower_eyelid', 'VH_F_vitreous_humor_L', 'VH_F_cornea_L', 'VH_F_bulbar_conjunctiva_L', 'VH_F_iris_L', 'VH_F_trabecular_meshwork_L', 'VH_F_ciliary_body_L', 'VH_F_ciliary_muscle_L', 'VH_F_aqueous_humor_L', 'VH_F_schlemms_canal_L', 'VH_F_lens_L', 'VH_F_corneo_scleral_junction_L', 'VH_F_ora_serrata_of_retina_L', 'VH_F_suspensory_ligament_of_lens_L', 'VH_F_ciliary_processes_L', 'VH_F_pupil_L', 'VH_F_optic_choroid_L', 'VH_F_sclera_L']","['VH_F_palpebral_conjunctiva_of_left_upper_eyelid', 'VH_F_bulbar_conjunctiva_L', 'VH_F_iris_L', 'VH_F_trabecular_meshwork_L', 'VH_F_ciliary_muscle_L', 'VH_F_aqueous_humor_L', 'VH_F_schlemms_canal_L', 'VH_F_suspensory_ligament_of_lens_L', 'VH_F_ciliary_processes_L', 'VH_F_optic_choroid_L', 'VH_F_sclera_L']"
1,3d-vh-f-eye-r.glb,183870,183870,147077,46682,00:03:38,"['VH_F_retina_R', 'VH_F_fovea_R', 'VH_F_macula_lutea_R', 'VH_F_optic_disc_R', 'VH_F_palpebral_conjunctiva_of_right_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_right_lower_eyelid', 'VH_F_sclera_R', 'VH_F_optic_choroid_R', 'VH_F_pupil_R', 'VH_F_ciliary_processes_R', 'VH_F_suspensory_ligament_of_lens_R', 'VH_F_ora_serrata_of_retina_R', 'VH_F_corneo_scleral_junction_R', 'VH_F_lens_R', 'VH_F_schlemms_canal_R', 'VH_F_aqueous_humor_R', 'VH_F_ciliary_body_R', 'VH_F_ciliary_muscle_R', 'VH_F_trabecular_meshwork_R', 'VH_F_iris_R', 'VH_F_bulbar_conjunctiva_R', 'VH_F_cornea_R', 'VH_F_vitreous_humor_R']","['VH_F_sclera_R', 'VH_F_optic_choroid_R', 'VH_F_ciliary_processes_R', 'VH_F_suspensory_ligament_of_lens_R', 'VH_F_ora_serrata_of_retina_R', 'VH_F_schlemms_canal_R', 'VH_F_aqueous_humor_R', 'VH_F_trabecular_meshwork_R', 'VH_F_iris_R', 'VH_F_bulbar_conjunctiva_R']"
2,3d-vh-f-larynx.glb,17375,17375,13895,76387,00:01:14,"['VH_F_arytenoid_cartilage_R', 'VH_F_arytenoid_cartilage_L', 'VH_F_epiglotic_cartilage', 'VH_F_cricoid_cartilage', 'VH_F_thyroid_cartilage', 'VH_F_corniculate_cartilage_L', 'VH_F_corniculate_cartilage_R']",[]
3,3d-vh-f-lung.glb,293880,293880,235056,46376,00:03:10,"['VH_F_hilum_L', 'VH_F_hilum_upper_L', 'VH_F_lingula_superior_bronchopulmonary_segment', 'VH_F_left_anterior_bronchopulmonary_segment', 'VH_F_left_apical_bronchopulmonary_segment', 'VH_F_left_posterior_bronchopulmonary_segment', 'VH_F_lingula_inferior_bronchopulmonary_segment', 'VH_F_left_superior_bronchopulmonary_segment', 'VH_F_left_posterior_basal_bronchopulmonary_segment', 'VH_F_left_anterior_basal_bronchopulmonary_segment', 'VH_F_left_lateral_basal_bronchopulmonary_segment', 'VH_F_left_medial_basal_bronchopulmonary_segment', 'VH_F_hilum_lower_L', 'VH_F_hilum_R', 'VH_F_right_medial_basal_bronchopulmonary_segment', 'VH_F_right_posterior_basal_bronchopulmonary_segment', 'VH_F_right_anterior_basal_bronchopulmonary_segment', 'VH_F_right_lateral_basal_bronchopulmonary_segment', 'VH_F_right_superior_bronchopulmonary_segment', 'VH_F_hilum_lower_R', 'VH_F_right_medial_bronchopulmonary_segment', 'VH_F_right_lateral_bronchopulmonary_segmennt', 'VH_F_hilum_middle_R', 'VH_F_right_anterior_bronchopulmonary_segm', 'VH_F_right_apical_bronchopulmonary_segment', 'VH_F_right_posterior_bronchopulmonary_segment', 'VH_F_hilum_upper_R', 'VH_F_cartilage_of_lobar_bronchus_L', 'VH_F_cartilage_of_tertiary_bronchus_L', 'VH_F_left_superior_lobar_bronchus', 'VH_F_left_inferior_lobar_bronchus', 'VH_F_left_anterior_basal_bronchus', 'VH_F_left_lingula_superior_bronchus', 'VH_F_left_apical_bronchus', 'VH_F_left_posterior_basal_bronchus', 'VH_F_left_medial_basal_bronchus', 'VH_F_left_superior_bronchus', 'VH_F_left_anterior_bronchus', 'VH_F_left_posterior_bronchus', 'VH_F_left_lateral_basal_bronchus', 'VH_F_left_lingula_inferior_bronchi', 'VH_F_cartilage_of_lobar_bronchus_R', 'VH_F_cartilage_of_tertiary_bronchus_R', 'VH_F_right_middle_lobar_bronchus', 'VH_F_right_superior_lobar_bronchus', 'VH_F_right_inferior_lobar_bronchus', 'VH_F_right_anterior_bronchus', 'VH_F_right_lateral_basal_bronchus', 'VH_F_right_lateral_bronchus', 'VH_F_right_medial_bronchus', 'VH_F_right_medial_basal_bronchus', 'VH_F_right_posterior_basal_bronchus', 'VH_F_right_posterior_bronchus', 'VH_F_right_superior_bronchus', 'VH_F_right_apical_bronchus', 'VH_F_right_anterior_basal_bronchus']","['VH_F_hilum_L', 'VH_F_hilum_R', 'VH_F_right_anterior_bronchopulmonary_segm', 'VH_F_cartilage_of_lobar_bronchus_L', 'VH_F_cartilage_of_tertiary_bronchus_L', 'VH_F_left_anterior_basal_bronchus', 'VH_F_cartilage_of_lobar_bronchus_R', 'VH_F_cartilage_of_tertiary_bronchus_R']"
4,3d-vh-f-main-bronchus.glb,33612,33612,26886,6944,00:00:51,"['VH_F_right_main_bronchus', 'VH_F_cartilage_of_main_bronchus_R', 'VH_F_left_main_bronchus', 'VH_F_cartilage_of_main_bronchus_L']","['VH_F_cartilage_of_main_bronchus_R', 'VH_F_cartilage_of_main_bronchus_L']"
5,3d-vh-f-mammary-gland-l.glb,267195,267195,213747,3470,00:01:49,"['VH_F_fat_L', 'VH_F_areolar_tubercles_L', 'VH_F_nipple_L', 'VH_F_areola_L', 'VH_F_mammary_lobes_L', 'VH_F_main_lactiferous_ducts_L', 'VH_F_main_lactiferous_sinuses_L', 'VH_F_suspensory_ligaments_L']","['VH_F_fat_L', 'VH_F_mammary_lobes_L', 'VH_F_main_lactiferous_ducts_L', 'VH_F_main_lactiferous_sinuses_L']"
6,3d-vh-f-mammary-gland-r.glb,543730,543730,434977,117404,00:02:37,"['VH_F_fat_R', 'VH_F_areolar_tubercles_R', 'VH_F_nipple_R', 'VH_F_areola_R', 'VH_F_main_lactiferous_sinuses_R', 'VH_F_main_lactiferous_ducts_R', 'VH_F_mammary_lobes_R', 'VH_F_suspensory_ligaments_R']","['VH_F_fat_R', 'VH_F_main_lactiferous_sinuses_R', 'VH_F_main_lactiferous_ducts_R', 'VH_F_mammary_lobes_R']"
7,3d-vh-f-palatine-tonsil-l.glb,16992,16992,13592,58600,00:01:06,['VH_F_palatine_tonsil_L'],['VH_F_palatine_tonsil_L']
8,3d-vh-f-palatine-tonsil-r.glb,12194,12194,9754,13428,00:01:14,['VH_F_palatine_tonsil_R'],[]
9,3d-vh-f-skin.glb,382640,382640,306112,6706,00:00:59,['VH_F_skin'],['VH_F_skin']
10,3d-vh-f-trachea.glb,27619,27619,22093,106866,00:00:43,"['VH_F_trachea', 'VH_F_tracheal_cartilage', 'VH_F_carina']",[]
11,3d-vh-m-eye-l.glb,184208,184208,147345,53419,00:03:54,"['VH_M_retina_L', 'VH_M_fovea_L', 'VH_M_macula_lutea_L', 'VH_M_optic_disc_L', 'VH_M_palpebral_conjunctiva_of_upper_eyelid_L', 'VH_M_palpebral_conjunctiva_of_lower_eyelid_L', 'VH_M_vitreous_humor_L', 'VH_M_cornea_L', 'VH_M_bulbar_conjunctiva_L', 'VH_M_iris_L', 'VH_M_trabecular_meshwork_L', 'VH_M_ciliary_body_L', 'VH_M_ciliary_muscle_L', 'VH_M_aqueous_humor_L', 'VH_M_schlemms_canal_L', 'VH_M_lens_L', 'VH_M_corneo_scleral_junction_L', 'VH_M_ora_serrata_of_retina_L', 'VH_M_suspensory_ligament_of_lens_L', 'VH_M_ciliary_processes_L', 'VH_M_pupil_L', 'VH_M_optic_choroid_L', 'VH_M_sclera_L']","['VH_M_palpebral_conjunctiva_of_upper_eyelid_L', 'VH_M_bulbar_conjunctiva_L', 'VH_M_iris_L', 'VH_M_trabecular_meshwork_L', 'VH_M_ciliary_muscle_L', 'VH_M_aqueous_humor_L', 'VH_M_schlemms_canal_L', 'VH_M_suspensory_ligament_of_lens_L', 'VH_M_ciliary_processes_L', 'VH_M_optic_choroid_L', 'VH_M_sclera_L']"
12,3d-vh-m-eye-r.glb,183879,183879,147083,217421,00:03:46,"['VH_M_retina_R', 'VH_M_fovea_R', 'VH_M_macula_lutea_R', 'VH_M_optic_disc_R', 'VH_M_palpebral_conjunctiva_of_upper_eyelid_R', 'VH_M_palpebral_conjunctiva_of_lower_eyelid_R', 'VH_M_sclera_R', 'VH_M_optic_choroid_R', 'VH_M_pupil_R', 'VH_M_ciliary_processes_R', 'VH_M_suspensory_ligament_of_lens_R', 'VH_M_ora_serrata_of_retina_R', 'VH_M_corneo_scleral_junction_R', 'VH_M_lens_R', 'VH_M_schlemms_canal_R', 'VH_M_aqueous_humor_R', 'VH_M_ciliary_body_R', 'VH_M_ciliary_muscle_R', 'VH_M_trabecular_meshwork_R', 'VH_M_iris_R', 'VH_M_bulbar_conjunctiva_R', 'VH_M_cornea_R', 'VH_M_vitreous_humor_R']","['VH_M_sclera_R', 'VH_M_optic_choroid_R', 'VH_M_ciliary_processes_R', 'VH_M_suspensory_ligament_of_lens_R', 'VH_M_ora_serrata_of_retina_R', 'VH_M_schlemms_canal_R', 'VH_M_aqueous_humor_R', 'VH_M_trabecular_meshwork_R', 'VH_M_iris_R', 'VH_M_bulbar_conjunctiva_R']"
13,3d-vh-m-larynx.glb,13232,13232,10582,108605,00:01:16,"['VH_M_arytenoid_cartilage_R', 'VH_M_arytenoid_cartilage_L', 'VH_M_epiglottic_cartilage', 'VH_M_cricoid_cartilage', 'VH_M_thyroid_cartilage', 'VH_M_corniculate_cartilage_L', 'VH_M_corniculate_cartilage_R']",[]
